symbol
IEX
TVSMOTOR
TITAN
SRTRANSFIN
OFSS
BAJAJFINSV
NAVINFLUOR
MANAPPURAM
MINDTREE
OBEROIRLTY
HDFC
GODREJPROP
DLF
DEEPAKNTR
MUTHOOTFIN
BAJAJ-AUTO
ABFRL
LTTS
PNB
IDFCFIRSTB
MOTHERSUMI
HAVELLS
CUMMINSIND
RAMCOCEM
POLYCAB
GAIL
PIDILITIND
COFORGE
HDFCBANK
MCDOWELL-N
TECHM
SRF
TATACHEM
BHARATFORG
BAJFINANCE
L&TFH
TATAPOWER
PAGEIND
LTI
RBLBANK
ZEEL
GUJGASLTD
MCX
ASHOKLEY
HINDUNILVR
ICICIGI
AUBANK
SHREECEM
TRENT
UBL
MRF
DABUR
TORNTPOWER
IRCTC
ICICIPRULI
HEROMOTOCO
BERGEPAINT
PERSISTENT
DELTACORP
DIXON
MFSL
COROMANDEL
IDEA
PVR
IPCALAB
POWERGRID
LUPIN
BHARTIARTL
METROPOLIS
HAL
ONGC
HDFCLIFE
AARTIIND
M&M
APOLLOHOSP
NAUKRI
M&MFIN
SYNGENE
ALKEM
WIPRO
SAIL
BRITANNIA
TORNTPHARM
NAM-INDIA
SBILIFE
KOTAKBANK
GLENMARK
CADILAHC
HDFCAMC
BEL
BOSCHLTD
BANKBARODA
PFIZER
GRASIM
INDIGO
RELIANCE
BATAINDIA
INDIACEM
INDHOTEL
CUB
LT
CANBK
ADANIPORTS
INDUSTOWER
BALKRISIND
INDUSINDBK
IGL
HINDPETRO
GMRINFRA
BANDHANBNK
TCS
AMARAJABAT
APOLLOTYRE
AUROPHARMA
ABBOTINDIA
AXISBANK
ULTRACEMCO
GODREJCP
TATASTEEL
SIEMENS
EXIDEIND
ADANIENT
LALPATHLAB
CROMPTON
SUNTV
PEL
TATACONSUM
IOC
BHEL
ICICIBANK
ITC
CONCOR
ACC
COLPAL
SUNPHARMA
UPL
DRREDDY
INFY
HCLTECH
JINDALSTEL
MARUTI
NESTLEIND
DALBHARAT
NMDC
STAR
MGL
SBIN
MPHASIS
CIPLA
JUBLFOOD
CHOLAFIN
ESCORTS
JSWSTEEL
DIVISLAB
RECLTD
GRANULES
EICHERMOT
NTPC
ASTRAL
BPCL
JKCEMENT
PETRONET
APLLTD
AMBUJACEM
PIIND
MARICO
FEDERALBNK
COALINDIA
TATAMOTORS
VOLTAS
ASIANPAINT
PFC
VEDL
NATIONALUM
HINDALCO
IBULHSGFIN
CANFINHOME
BIOCON
INDIAMART
LICHSGFIN
